TenantId,TimeGenerated,Timestamp,AlertId,Title,Categories,AttackTechniques,ServiceSource,DetectionSource,EntityType,EvidenceRole,EvidenceDirection,FileName,FolderPath,SHA1,SHA256,FileSize,ThreatFamily,RemoteIP,RemoteUrl,AccountName,AccountDomain,AccountSid,AccountObjectId,AccountUpn,DeviceId,DeviceName,LocalIP,NetworkMessageId,EmailSubject,ApplicationId,Application,OAuthApplicationId,ProcessCommandLine,AdditionalFields,RegistryKey,RegistryValueName,RegistryValueData,CloudPlatform,CloudResource,Severity,SourceSystem,Type
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:14:22Z,2026-05-28T09:12:52Z,sa-7f2a-9c1b-4e8d-a6f3-001,Suspicious PowerShell execution chain,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,Process,Primary,Related,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,4e9d6b3a7f2c8e1d5b9a0f3c7e2d8b5a1f6c4e9,c4e9d6b3a7f2c8e1d5b9a0f3c7e2d8b5a1f6c4e9d3b7a2f8c1e5d9b6a3f7c2e8,,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABzAD0A...,"{""EncodedLength"":1842,""ParentFile"":""cmd.exe""}",,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:14:22Z,2026-05-28T09:12:48Z,sa-7f2a-9c1b-4e8d-a6f3-001,Suspicious PowerShell execution chain,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,Process,Parent,Related,cmd.exe,C:\Windows\System32,,,,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,cmd.exe /d /s /c node .\node_modules\@labdev\telemetry-helper\scripts\postinstall.js,,,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:14:22Z,2026-05-28T09:12:45Z,sa-7f2a-9c1b-4e8d-a6f3-001,Suspicious PowerShell execution chain,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,Process,Parent,Related,node.exe,C:\Program Files\nodejs,,,,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,"node.exe ""C:\Program Files\nodejs\node.exe"" install",,,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:18:05Z,2026-05-28T09:16:44Z,sa-7f2a-9c1b-4e8d-a6f3-002,Outbound connection to low-reputation host,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,Ip,Primary,Related,powershell.exe,,,,,,203.0.113.47,https://update-cdn-lab.example/sync/v1/channel,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,,"{""ConnectionStatus"":""Success"",""BytesSent"":2048}",,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:18:05Z,2026-05-28T09:17:02Z,sa-7f2a-9c1b-4e8d-a6f3-002,Outbound connection to low-reputation host,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,Url,Related,Related,,,,,,,198.51.100.22,https://pkg-cache-lab.invalid/v2/registry/@labdev/telemetry-helper/-/telemetry-helper-2.1.4.tgz,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,,"{""ConnectionStatus"":""BlockedByFirewall""}",,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:11:48Z,2026-05-28T09:10:55Z,sa-7f2a-9c1b-4e8d-a6f3-005,Anomalous postinstall script during package install,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,File,Primary,Related,postinstall.js,C:\Users\jordan.velez\Projects\analytics-portal\node_modules\@labdev\telemetry-helper\scripts,9b0f2a7c3e1d8f5a4c6e9d2b7a1f0c8e5d4b6a9,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,4288,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,,"{""Package"":""@labdev/telemetry-helper"",""Version"":""2.1.4""}",,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:11:48Z,2026-05-28T09:10:30Z,sa-7f2a-9c1b-4e8d-a6f3-005,Anomalous postinstall script during package install,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,File,Related,Related,telemetry-helper-2.1.4.tgz,,,,,,198.51.100.22,https://pkg-cache-lab.invalid/v2/registry/@labdev/telemetry-helper/-/telemetry-helper-2.1.4.tgz,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,,,,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T08:42:10Z,2026-05-28T08:35:12Z,sa-7f2a-9c1b-4e8d-a6f3-006,Email reported with embedded link to external SaaS trial,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,MailMessage,Primary,Related,,,,,,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,nm-ext-ai-trial-7c4a9b2e-001,Exclusive trial: AI pair-programming for enterprise repos,,,,,"{""PhishConfidence"":""Low"",""UserReported"":true}",,,,,,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T10:02:33Z,2026-05-28T10:01:05Z,sa-7f2a-9c1b-4e8d-a6f3-004,Unusual volume of SharePoint file downloads,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,CloudResource,Primary,Related,,,,,,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,,"{""Action"":""FileDownloaded"",""SensitivityLabel"":""Customer Data""}",,,,Azure,/sites/DataPlatform/Shared Documents/CustomerAnalytics_Q2_Draft.xlsx,Medium,Detection,AlertEvidence
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T10:02:33Z,2026-05-28T09:59:22Z,sa-7f2a-9c1b-4e8d-a6f3-004,Unusual volume of SharePoint file downloads,SuspiciousActivity,T1059,Microsoft Defender for Endpoint,AutomatedInvestigation,CloudResource,Related,Related,,,,,,,,,jordan.velez,creditsafe.com,S-1-5-21-1000000000-2000000000-3000000000-104421,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,jordan.velez@creditsafe.com,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,10.24.18.55,,,,,,,"{""Action"":""FilePreviewed""}",,,,Azure,/sites/DataPlatform/Shared Documents/README.md,Medium,Detection,AlertEvidence
